app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,cpu8_todo_queue,cpu9_todo_queue,cpu10_todo_queue,cpu11_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
25,radar_correlator-noapi-x86,20208,21912793,0,0,0,209574905687756,128032077,24187689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1109401,15596,2493,3812,106,0,0,0,0
20,temporal_mitigation-x86,57392,178898034,4,1,1,209574771638433,-134049323,180773051,6434,45410,17325,0,0,0,0,1,1,0,1,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,23077,12,140,95,5,11,6066,212,413,1710057,18690,4563,9005,146,0,0,0,0
8,SAR-noapi-x86,20640,93161898,0,0,0,209574897632688,125994255,94310066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,180729478,546877,267260,151951,2392,667,41167026,206750,13855
17,SAR_nb-x86,24968,433274102,2305,374,51,209574556328360,-341304328,446727443,520,11875176,26101,48,47,48,51,47,50,43,46,46,48,45,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,50719847,651867,198347,66500,2186,1075,8871734,231116,216811,212681961,400797,74480,169764,2543,1119,30311719,202530,77643
21,temporal_mitigation-x86,57392,46796437,4,1,1,209574968428675,412100315,50198115,6059,145860,41680,1,1,0,0,0,1,1,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,33575,501,206,80,6,6,8383,55,398,10256,19550,5641,5427,141,0,0,0,0
31,temporal_mitigation-noapi-x86,61688,1220006,0,0,0,209575018090339,49661664,9567481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1742835,12900,3923,5512,78,0,0,0,0
15,wifi-tx-nb-x86,67888,387377082,100,10,2,209574701419414,-316670925,388043740,2037,328299,13769,1,1,2,1,1,1,1,2,1,1,1,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,1053754,29783,6755,4835,442,186,189781,6690,11914,6781088,88697,40426,57479,644,110,0,0,0
32,temporal_mitigation-noapi-x86,61688,616765,0,0,0,209575168717911,467298497,8947169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1742520,8641,2213,6152,36,0,0,0,0
22,temporal_mitigation-x86,57392,59072748,4,1,1,209575165320062,-3397849,67366119,6779,9442,8026,1,0,1,0,0,1,0,0,1,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,35377,648,281,105,4,7,5650,300,259,1702494,15821,6120,5309,90,0,0,0,0
16,wifi-tx-nb-x86,67888,395109010,100,10,2,209574874459916,-290860146,396913927,2251,331443,19007,2,2,2,2,2,1,1,1,1,1,2,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,1052783,26541,6495,4398,192,92,166886,6959,9555,654,98952,36225,42252,462,0,0,0,0
18,SAR_nb-x86,24968,531441308,2305,280,57,209574746305370,-128154546,539846009,898,14343413,16374,47,47,46,50,48,52,46,57,47,51,47,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,44123144,550107,234553,64139,2811,1043,10342284,245948,192657,144427928,444823,202093,206777,3094,495,39336202,48516,131305
10,pulse_doppler-nb-x86,20528,2937997151,512,17,12,209574655826608,-90478762,2946254455,2355,474281,17667,5,5,5,5,4,4,12,5,6,5,11,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,4956944,124411,19374,19003,1190,778,1039565,43865,55425,10322149,714925,138051,91161,3587,0,0,0,0
12,pulse_doppler-nb-x86,20528,2680105682,512,4,12,209574964583663,308757055,2688630834,2293,11127340,38362,5,12,6,5,6,5,10,5,5,11,5,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,4828645,124906,21251,17844,1017,897,1000888,37795,58116,9010007,325013,169583,88530,4571,1192,0,0,0
11,pulse_doppler-nb-x86,20528,2838017427,512,6,12,209574816462327,-148121336,2838661500,2111,131090,16565,11,6,4,3,3,2,3,12,4,12,4,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,5429299,128377,23431,16704,747,669,1007824,36558,53572,5303468,239808,158390,97177,3593,1757,0,0,0
13,pulse_doppler-nb-x86,20528,2578432919,512,5,12,209575118964244,302501917,2583087324,2548,153270,15588,11,8,8,12,8,12,8,9,9,10,11,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,5442841,120777,18373,18259,1048,840,1033822,32884,56999,7926183,852895,234545,84632,8321,0,0,0,0
0,track_nb-x86,291568,3630323039,24580,1024,98,209574454216088,-664748156,3638751521,13266,21109410,69068,96,94,94,98,96,96,93,97,93,93,97,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,2461447212,18117126,5357418,1100709,50055,15013,403545657,8290196,3348744,2663663497,67146194,16132497,3323264,66895,2975,866777461,17878827,1201980
3,track_nb-x86,291568,3558790872,24580,1024,105,209574851337087,397120999,3567402046,13339,22193977,39479,94,98,91,97,102,105,98,99,89,104,105,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,2473987625,16410684,3438060,1036419,59711,14651,444827296,8410916,3202285,2812847515,63472658,14808675,3641818,57865,2222,936531865,21990885,1126409
1,track_nb-x86,291568,3837840300,24580,1024,103,209574586588782,-264748305,3855761327,12662,31029553,51738,98,97,99,98,103,94,99,95,92,97,97,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,2301380797,15398172,4384966,1110223,63293,15246,417853632,7320235,3390408,2904076076,67545551,14703788,3685280,57594,2487,925430205,21508632,1322766
2,track_nb-x86,291568,3793803077,24580,1024,103,209574719106445,132517663,3802194008,13417,17525995,40157,98,102,94,94,95,97,97,103,95,93,95,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,2389975053,16647593,5534437,1074673,50018,14234,432059825,8592433,3693832,2822600977,63667711,15045623,3762458,63250,2989,914792252,22121596,1602112
4,track_nb-x86,291568,3643391611,24580,1024,102,209574983885677,264779232,3643719220,13143,20751662,37033,94,97,93,98,95,100,93,102,93,100,97,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,2411272088,18511167,5354278,1003003,51567,13617,452920680,7602345,3321994,2734171289,69471495,15901978,3825166,60554,2333,924492867,20363993,1958986
6,temporal_mitigation-noapi-x86,61688,1010414,0,0,0,209580630277121,0,12175758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1757825,11018,5103,5303,112,0,0,0,0
29,radar_correlator-x86,20136,5942403,3,1,1,209580673514288,43237167,14158723,64080,666892,305842,1,1,1,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,249840,6632,596,1203,84,0,0,0,0,867312,16936,3653,3131,150,0,0,0,0
4,temporal_mitigation-x86,57392,5312150,4,1,1,209580696467173,22952885,19667826,4733,8897,7220,1,0,0,1,0,0,0,0,0,1,1,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,47876,1364,182,175,12,0,0,0,0,1726371,16097,4356,5590,111,0,0,0,0
7,temporal_mitigation-noapi-x86,61688,1310248,0,0,0,209580740733826,44266653,14303712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1742788,10897,2271,5885,33,0,0,0,0
18,radar_correlator-noapi-x86,20208,1090871,0,0,0,209580745580439,4846613,9559561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1089759,12028,2034,1806,100,0,0,0,0
30,radar_correlator-x86,20136,1099757,3,1,1,209580776473447,30893008,10951747,19628,32455,26042,0,0,0,1,1,1,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,84465,1222,130,619,20,6,15730,304,0,855617,11948,1394,2597,44,0,0,0,0
26,wifi-tx-nb-x86,67888,35450355,100,10,2,209580745580439,-30893008,43933280,2959,313782,13358,1,2,1,1,1,1,1,1,1,1,1,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,529550,24160,1149,5566,272,106,215927,4802,1891,12254978,85355,6125,23097,130,0,0,0,0
8,temporal_mitigation-noapi-x86,61688,858202,0,0,0,209580851190206,105609767,5491027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,937959,7820,2372,4841,28,0,0,0,0
5,temporal_mitigation-x86,57392,1960900,4,1,1,209580880313092,29122886,8043244,3294,5209,4559,0,0,0,0,1,1,1,1,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,23002,945,15,133,8,7,2741,84,217,1712645,15209,1517,4974,133,0,0,0,0
31,radar_correlator-x86,20136,1141970,3,1,1,209580879432052,-881040,9382433,15719,23712,19345,0,0,0,0,0,0,0,0,1,1,1,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,79155,1613,435,618,47,19,15741,322,514,912314,12126,3576,3177,26,0,0,0,0
15,SAR-noapi-x86,20640,189081631,0,0,0,209580719346457,-160085595,198042974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,237694563,1055940,156987,225220,1340,198,50957894,456493,142260
19,radar_correlator-noapi-x86,20208,2236610,0,0,0,209580939205398,219858941,9867997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1125919,12484,2443,3921,52,0,0,0,0
9,temporal_mitigation-noapi-x86,61688,1221558,0,0,0,209580969184045,29978647,9356785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1742803,11524,2461,5685,36,0,0,0,0
10,SAR_nb-x86,24968,303148280,2305,512,47,209580677826826,-291357219,311365902,778,9221638,36323,38,39,45,44,39,47,41,39,47,39,38,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,44352773,775134,240328,81076,3074,1110,7785497,173579,215372,155690495,144086,162823,300866,2347,947,40513290,196562,71202
32,radar_correlator-x86,20136,21280228,3,1,1,209580982390156,304563330,21536289,17809,82779,40413,0,0,1,1,0,0,0,0,0,1,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,156773,3089,19,143,7,3,31453,687,278,349167,26149,3814,3248,206,0,0,0,0
27,wifi-tx-nb-x86,67888,150199084,100,10,2,209580922651912,-59738244,158425303,2573,85309,5203,1,2,1,1,1,1,1,1,1,2,2,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,1034341,35391,4650,5128,303,85,136499,6591,12023,6975680,100451,28618,44035,285,0,0,0,0
16,SAR-noapi-x86,20640,187869362,0,0,0,209580899081507,-23570405,190106809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,166998527,522315,443538,459793,4004,441,25711594,42036,186840
20,radar_correlator-noapi-x86,20208,58890880,0,0,0,209581173340591,274259084,59721335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,1083178,15125,2406,3622,74,0,0,0,0
33,radar_correlator-x86,20136,169594362,3,1,1,209581086825696,-86514895,171854424,30575,61934,50668,0,1,0,0,0,1,0,0,0,1,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,166918,2756,414,403,0,2,17522,662,1091,886896,18628,5707,6258,135,0,0,0,0
17,SAR-noapi-x86,20640,182593008,0,0,0,209581078819346,-8006350,183319646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,0,0,0,0,0,0,0,0,0,247267046,963394,366196,211533,1071,196,35221292,27932,96664
11,SAR_nb-x86,24968,465835445,2305,512,49,209580825611211,-253208135,474087151,590,14053562,36134,47,46,48,47,49,47,48,48,48,46,46,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,45087144,761514,226112,80765,2862,871,6851632,250916,209081,159933021,711925,246748,663535,2485,512,33562506,36779,179047
12,SAR_nb-x86,24968,583973896,2305,256,50,209580974184463,148573252,586881181,810,14932773,23796,49,50,49,47,47,47,44,46,44,42,46,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,41371775,751178,234383,85956,2121,587,7348938,231284,171812,195405677,1190728,271570,419440,900,592,35484963,278184,331781
28,wifi-tx-nb-x86,67888,547620703,100,10,2,209581114497969,140313506,547992738,2302,357029,29309,2,1,1,1,1,2,1,1,2,1,1,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,921025,30473,6451,4220,250,73,182172,6441,9330,12214835,95222,36339,43137,479,0,0,0,0
14,SAR_nb-x86,24968,459486203,2305,92,53,209581268952680,154454711,460129422,876,4418083,9883,53,45,46,50,49,49,50,49,48,47,48,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,47859553,715412,235908,79904,2395,537,9041788,253740,222808,139713304,1249221,220062,172688,842,279,38605928,288019,280370
13,SAR_nb-x86,24968,607183603,2305,225,60,209581173340591,-95612089,608047934,920,4352801,9161,55,47,51,41,45,41,60,43,55,42,53,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,56049707,625016,223624,68544,2909,590,8850637,298616,197773,146613020,1183129,236933,363344,2278,582,35689160,131883,324861
21,pulse_doppler-nb-x86,20528,1190380260,512,9,13,209580704033161,-469307430,1200115924,1549,324302,12697,7,7,8,9,7,11,8,12,13,8,10,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,5050382,162219,17155,24231,1247,474,782217,33617,59983,7550245,393311,75412,73950,2128,384,0,0,0
22,pulse_doppler-nb-x86,20528,2280502283,512,9,14,209580852505082,148471921,2284303441,2070,446584,19694,14,4,12,14,12,13,14,9,13,9,14,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,4962823,147193,27388,24742,903,609,714685,32192,66021,13400565,507800,30110,35957,3059,1954,4562163,186375,102974
23,pulse_doppler-nb-x86,20528,2294514261,512,7,13,209581000976380,148471298,2302728846,2393,1049023,17554,6,9,4,6,12,13,6,6,6,12,6,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,4740216,146726,22426,19934,1011,682,868208,37780,57342,23590552,747778,138759,93777,3443,0,0,0,0
24,pulse_doppler-nb-x86,20528,2293470581,512,37,12,209581173340591,172364211,2297862081,2391,491851,20408,6,10,12,7,7,6,12,6,6,6,6,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,4619109,128202,24624,17622,1069,563,909306,39283,57840,5814859,336810,121794,72513,6498,1241,3572684,104220,0
25,pulse_doppler-nb-x86,20528,2343150288,512,6,12,209581299371786,126031195,2347418176,2303,142521,16689,10,4,4,4,4,4,4,12,5,5,7,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,4699436,125086,24212,24239,1204,894,860020,37217,62680,1564606,96728,86213,60782,3852,3252,3620248,114874,0
0,track_nb-x86,291568,3434990772,24580,1023,102,209580670000327,-629371459,3443193251,13477,41890708,59989,101,95,93,94,93,97,93,101,94,99,102,0.164219,0.108066,0.112084,0.096117,0.085513,0.106364,0.086399,0.101970,0.111344,0.114261,0.092235,2345024703,14633145,4497097,1194444,56163,11276,425929529,7588155,3658615,2706161398,64001510,14256000,3250575,60367,7927,863808917,20607350,959392
