380538,922305,330,330,21,184
35157131,96801234,123195,123197,0,16630
352766,921586,906,906,14,61
161658,398904,137,139,0,166
44506,26251,375,375,40,298
166012,462822,247,247,8,34
360617,920938,234,236,0,23
159448,397767,136,136,0,159
1912778,5275860,110,109,0,191
197951,525623,152,152,0,28
382132,922305,364,365,16,175
35462418,96801233,129156,129157,0,16781
360731,921585,301,301,11,54
162473,398904,113,113,0,162
45302,26251,398,398,43,312
164907,462823,305,306,3,37
364886,920937,255,256,0,13
165889,397768,138,136,1,151
1927426,5275860,76,76,0,184
367263,920943,273,274,0,24
176160,462135,174,174,0,24
35447616,96801233,127721,127723,0,16689
344836,920889,216,216,1,25
160065,398904,103,104,0,143
17331,20669,121,121,6,162
163800,462119,144,144,0,17
356259,920928,238,240,0,20
165405,397776,176,177,0,151
1931596,5275860,80,82,0,143
182774,525607,92,92,0,27
356168,920944,237,238,0,18
