app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
23,SAR-noapi-jetson,21944,609317056,0,0,0,17111395761526432,-466182240,627654528,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,254603362,67090274,663110,197478,287275,7601,71870566,428419,376052
7,wifi-tx-nb-jetson,62248,588415168,100,10,2,17111395863362016,101835584,627533600,5984,2925216,72349,1,2,2,1,2,1,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,1129734,260409,9602,12184,6094,440,235189,7586,34491,3832017,3349754,29065,25723,2966,958,2453279,2302,0
32,radar_correlator-noapi-jetson,13040,27264480,0,0,0,17111396377675936,514313920,159839424,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,2819239,917027,2673,8784,11605,241,0,0,0
24,SAR-noapi-jetson,21944,755274368,0,0,0,17111395903976832,-473699104,784768800,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,246129948,72216523,615649,189436,301346,2643,64688813,563583,416025
27,SAR-noapi-jetson,21944,551809184,0,0,0,17111396331336992,427360160,563213312,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,282859584,73700553,656502,173116,127404,3225,64596169,514272,198681
25,SAR-noapi-jetson,21944,1234997184,0,0,0,17111396046432448,-284904544,1291144032,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,262892838,76980969,648695,185103,228063,3203,69753721,605273,561838
26,SAR-noapi-jetson,21944,1145436992,0,0,0,17111396188885728,142453280,1170859104,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,268827187,72451073,598489,186670,204915,3515,68515573,673653,612647
21,SAR_nb-jetson,17984,2401951488,2305,420,76,17111395780203264,-408682464,2442252224,1408,49070144,37684,74,73,73,73,74,76,75,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,50765357,10092073,220261,189366,144898,3048,10041066,237410,735085,223676007,58682424,507476,115642,123302,6855,62000378,452535,298627
22,SAR_nb-jetson,17984,3620796960,2305,436,74,17111395950763072,170559808,3631573984,1248,6578784,16055,73,73,74,73,73,73,73,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,56352297,11755922,232043,177582,135837,2097,9882837,233658,744717,219836608,66604474,445608,163897,391986,6936,53646228,456522,550894
8,pulse_doppler-nb-jetson,17456,9585646624,512,11,19,17111395731832160,-218930912,9603941760,5312,41320672,183409,18,18,18,18,18,19,19,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,5600271,1303824,50970,58005,31900,2044,1152977,44566,204227,12634606,6081169,211172,75227,273342,11018,6398371,77226,150888
